region,arm,protocol,low_conf_frac,n_matched,TUR_mean,TUR_median,TUR_aggregate,CE_mean,CE_median,OPR,UPR,RSD_mean,RSD_median,FCE_mean,FCE_median,TUR_actual_observed,collision_rate_many_to_one
Central_Coast,Uni,multi,0.35294117647058826,11,69.05913297584677,76.68796662654962,70.71144406888467,88.19773557766838,30.39855455677145,0.36363636363636365,0.09090909090909091,56.37182034575366,32.30170682207432,97.94345747139378,75.08366797128718,76.7891438529527,
Central_Coast,Uni,1to1,0.5294117647058824,8,79.31321967878685,77.88812192576255,79.1014655453634,44.547622314684226,28.419771837610217,0.25,0.25,29.201261995562746,33.40465492141019,47.868378072171936,38.96084360084335,63.45120677606876,0.5294117647058824
Central_Coast,LU,multi,0.35294117647058826,11,72.63514103363535,76.37923781096212,73.17285922188594,91.19326289164256,30.92563223463821,0.2727272727272727,0.2727272727272727,60.02970474298573,34.01167048636236,109.23708686242615,75.8026036746908,65.175723457164,
Central_Coast,LU,1to1,0.47058823529411764,9,73.19966711857592,68.79485995960134,72.56729087457452,81.85920460387288,45.359697016206404,0.3333333333333333,0.3333333333333333,51.43912498014466,38.97681449080349,96.99643199561864,77.5404389058858,76.7891438529527,0.47058823529411764
Central_Coast,LU-soft,multi,0.29411764705882354,12,67.83825693822259,70.64354338941592,66.93492917424875,101.70425102200124,43.95286218844511,0.3333333333333333,0.08333333333333333,61.13071947910539,31.61895068884879,115.27045420410134,77.76124095328105,61.163172739287845,
Central_Coast,LU-soft,1to1,0.4117647058823529,10,75.91626105206622,74.57367496781788,74.00234315550864,77.54376179386375,34.74720318206225,0.3,0.4,49.0965870140259,37.73842938894872,89.5666266596859,60.26139626120579,70.98243365505834,0.47058823529411764
Central_Coast,GNN-42,multi,0.23529411764705882,13,70.77355849501424,68.68507770161405,57.624338089929786,251.49882394677437,45.59203155367483,0.46153846153846156,0.3076923076923077,160.84847619953274,56.87944970920903,264.7136407165872,85.97641396938249,100.0,
Central_Coast,GNN-42,1to1,0.4117647058823529,10,65.39169539449762,59.16484679034804,55.54908263686408,165.59441147523142,78.88489695073162,0.5,0.2,102.3084540652724,52.07123491623464,157.61162864732702,79.61544036910365,57.967191492963856,0.47058823529411764
Central_Coast,GNN-123,multi,0.17647058823529413,14,52.97619046471404,45.749818931176634,51.737804450323644,196.3110498955287,122.3048558101395,0.5,0.21428571428571427,112.78702621032541,55.844115186735095,201.4418704445331,120.41055272739916,100.0,
Central_Coast,GNN-123,1to1,0.29411764705882354,12,60.32932940694917,53.84786386838102,58.58725457065436,135.31597277569122,85.79229899362197,0.3333333333333333,0.16666666666666666,74.11213465512262,31.902052328103807,121.40364031543652,78.86352752819595,69.93917420008319,0.47058823529411764
Central_Coast,GNN-456,multi,0.23529411764705882,13,68.3518878241355,45.60102352353685,50.89990365972432,290.2746109504193,119.29332342372807,0.6153846153846154,0.23076923076923078,181.3931354487559,61.48867890498162,269.8515673272244,87.17795013969723,100.0,
Central_Coast,GNN-456,1to1,0.4117647058823529,10,59.16341432025636,37.60841259484285,49.37082825444457,219.9181174173967,178.4754530565552,0.6,0.1,131.99950492744853,92.8395295958069,181.37837080157342,71.8418374460941,69.25791697396312,0.4117647058823529
Hunter_Valley_exc_Newcastle,Uni,multi,0.3235294117647059,23,55.5024866181298,40.77213268772588,54.6379503623443,373.6137308992919,145.26556107795702,0.6521739130434783,0.17391304347826086,229.83088318458937,66.4372268365294,315.2415837886344,76.31494423824776,89.6278894619357,
Hunter_Valley_exc_Newcastle,Uni,1to1,0.5294117647058824,16,53.76958077773915,32.90463710296298,47.192339932982776,265.7671113216257,203.9791732599317,0.6875,0.1875,158.8892135290398,102.65278217328782,171.14239365562983,76.41131538342731,58.81917405080821,0.4411764705882353
Hunter_Valley_exc_Newcastle,LU,multi,0.4117647058823529,20,60.92113880909093,48.53477586800605,58.088523972278786,240.09711713512866,108.07855908536033,0.5,0.15,145.38703809829994,52.765550146967996,191.24627325888125,66.42746602276065,63.958320046220464,
Hunter_Valley_exc_Newcastle,LU,1to1,0.5294117647058824,16,66.0848014815071,54.40185348779059,60.82593248944511,243.71155873221156,88.7336631687175,0.5,0.1875,152.11037356983434,52.88097582796941,188.70588826021634,65.96788269694044,50.55885089590956,0.4411764705882353
Hunter_Valley_exc_Newcastle,LU-soft,multi,0.29411764705882354,24,54.317425346583924,44.738444238711686,58.372442373086145,257.0547523145117,123.52316589831344,0.5833333333333334,0.08333333333333333,153.79609549519995,53.203683985199845,173.35015770146083,69.71056523112728,94.61132052504303,
Hunter_Valley_exc_Newcastle,LU-soft,1to1,0.5,17,68.44758074686914,48.319869259209604,64.87477865083649,263.89848733791905,106.95420234594353,0.5294117647058824,0.23529411764705882,168.98413233829953,48.59742179206309,227.7343332267518,67.41101027838631,59.33413698854365,0.4117647058823529
Hunter_Valley_exc_Newcastle,GNN-42,multi,0.29411764705882354,24,53.36741781800152,38.70331713216652,49.93998578845721,316.3912051489763,160.70334746229233,0.5416666666666666,0.16666666666666666,195.20502647225067,73.80223164152822,210.14944274064138,79.52047948350803,63.958320046220464,
Hunter_Valley_exc_Newcastle,GNN-42,1to1,0.47058823529411764,18,68.88176394323015,77.71360581512025,58.32664130097444,328.55951504629877,36.15709324855199,0.3333333333333333,0.2777777777777778,216.70848402334923,41.23479994991868,238.68991196029526,73.76017698183605,63.958320046220464,0.4411764705882353
Hunter_Valley_exc_Newcastle,GNN-123,multi,0.4117647058823529,20,63.478339022037744,43.333603976403,52.58445874834078,308.28253822477774,150.42991918614788,0.5,0.2,194.2536360116558,89.34177554199414,170.1679662505354,64.64492788033655,54.19499099313139,
Hunter_Valley_exc_Newcastle,GNN-123,1to1,0.5588235294117647,15,69.8230648379809,69.63772221090954,54.20647750497033,313.66371813133685,47.4242912139122,0.4,0.2,201.05365774851742,64.00281434182219,126.5739672782012,65.64742285733979,37.96235073382726,0.38235294117647056
Hunter_Valley_exc_Newcastle,GNN-456,multi,0.3235294117647059,23,47.363639263982165,47.686014805890665,41.39843607760283,351.9491075980066,109.70508944196146,0.5217391304347826,0.08695652173913043,212.19909186587594,39.80339296130763,133.14943427260314,65.61215874994707,92.34552195233098,
Hunter_Valley_exc_Newcastle,GNN-456,1to1,0.4411764705882353,19,52.97137846769144,50.17350344222516,51.034422223304134,285.84638811843047,99.30838617867317,0.47368421052631576,0.15789473684210525,173.81947401334793,44.17248317763063,140.82096088190664,62.3070065250718,68.58250310389728,0.4117647058823529
Newcastle_and_Lake_Macquarie,Uni,multi,0.0,25,72.67955707204439,66.69023743406467,59.96730396954857,103.2868783923079,50.148441097997285,0.4,0.2,55.3064581902456,46.34866307653446,83.54170287406622,82.12076257016297,60.83983345459373,
Newcastle_and_Lake_Macquarie,Uni,1to1,0.16,21,75.53986386364299,64.15305494594648,62.91434928550971,106.13212615366254,55.877222190365096,0.38095238095238093,0.23809523809523808,56.80601915445709,44.7388604451538,81.5450860620628,63.25949081472828,61.81011142041382,0.2
Newcastle_and_Lake_Macquarie,LU,multi,0.0,25,75.91987223498752,59.31445813321695,59.302826898677054,104.68307213906559,68.59295886241699,0.36,0.24,58.31472226769775,41.299756962853365,79.16814217612212,63.11409507503269,60.83983345459373,
Newcastle_and_Lake_Macquarie,LU,1to1,0.28,18,69.96472015878115,57.07340483292309,56.07088863820903,121.96568009099377,75.29171764591408,0.3888888888888889,0.2222222222222222,64.35784393689234,54.53249283800234,91.01275472735486,55.78454457546964,68.17520399958471,0.24
Newcastle_and_Lake_Macquarie,LU-soft,multi,0.0,25,71.2346801112511,59.4933129721153,62.303530179444934,94.78976412380246,68.08611758916557,0.36,0.2,48.57787341582,38.16782623732921,68.17864478870885,45.048342346129864,60.83983345459373,
Newcastle_and_Lake_Macquarie,LU-soft,1to1,0.2,20,68.1068427947901,52.8315032259257,58.328815163168755,116.17385421156789,89.3002871708915,0.45,0.15,62.167110637645024,55.696410210227796,92.52663493525934,80.16792304433152,69.65174731706801,0.24
Newcastle_and_Lake_Macquarie,GNN-42,multi,0.0,25,93.11543985440154,79.12287986477912,63.977065796629304,93.72127546604146,43.879681368434824,0.36,0.4,63.51836253844372,56.31542913034819,74.34034324113688,65.0429438717967,60.83983345459373,
Newcastle_and_Lake_Macquarie,GNN-42,1to1,0.16,21,101.63884125859072,89.24828502528143,68.82055333092492,100.19841372706894,51.31902682827349,0.3333333333333333,0.38095238095238093,69.93603048649756,61.77047587791852,79.51639162130014,60.274679181432845,61.81011142041382,0.28
Newcastle_and_Lake_Macquarie,GNN-123,multi,0.0,25,80.31584820292512,68.94144091044573,61.00387891970319,91.90680858900157,54.216412987644105,0.36,0.28,55.01581096293655,44.6155405348144,68.92229275091415,56.954483353106596,60.83983345459373,
Newcastle_and_Lake_Macquarie,GNN-123,1to1,0.24,19,73.81556763404188,56.688960952624825,58.484804762722845,101.0510515177183,76.40118696754801,0.42105263157894735,0.15789473684210525,56.91476105986717,42.20694554381284,71.1341134034831,57.38666743350683,60.83983345459373,0.24
