region,mode,method,weight_source,solver,eval_weight,k,WSD,LWFL,LBI,DCR_1km,DCR_2km,DCR_5km,D_region_mva,low_conf_frac,match_dist_median_km,n_matched,TUR_mean,TUR_median,TUR_aggregate,CE_mean,CE_median,OPR,UPR,RSD_mean,RSD_median,FCE_mean,FCE_median,TUR_actual_observed,collision_rate_many_to_one
London,a1a,Uni,uniform,greedy,real,219,0.9924118878944129,0.9924118878944129,0.7857131289953393,0.5971397527710018,0.9066209319600393,1.0,,,,,,,,,,,,,,,,,
London,a1a,Uni,uniform,greedy,uniform,219,0.9672764495709181,0.9672764495709181,0.2458919153682167,0.6094306004939619,0.908787132543443,1.0,,,,,,,,,,,,,,,,,
London,a1a,Uni,uniform,greedy,gpm,219,0.9675566026432884,0.9675566026432882,0.5446961942926246,0.6089816660622699,0.910663034058658,1.0,,,,,,,,,,,,,,,,,
London,a1a,Uni,uniform,greedy,gpm_soft,219,0.9584433876305937,0.9584433876305936,0.5260731111380695,0.6105919780444005,0.914536795986435,1.0,,,,,,,,,,,,,,,,,
London,a1a,Uni,uniform,greedy,SIZING,219,,,,,,,5280.712168432902,0.0,1.0572961786023165,219.0,81.40737779543296,68.91425190141564,78.26916857419239,117.64559909631923,54.762075720822686,0.3105022831050228,0.2785388127853881,71.36510166177673,40.55627120355447,78.68877189743723,43.373370201721336,73.83000000000001,
London,a1a,Uni,uniform,greedy,SIZING_1TO1,219,,,,,,,5280.712168432902,0.045662100456621,1.6071619426381025,208.0,72.93602027380031,58.576629308897395,68.97672778698191,150.55379123012142,70.7166641329737,0.44711538461538464,0.23076923076923078,88.56616932329871,48.9691519273178,98.3231121499214,54.7473771671456,71.68,0.3424657534246575
London,a1a,LU,gpm,greedy,real,219,0.9575141418495374,0.9575141418495374,0.5706333010689111,0.6113244674014326,0.9287131079503053,0.9998534492210192,,,,,,,,,,,,,,,,,
London,a1a,LU,gpm,greedy,uniform,219,0.9890368950584121,0.9890368950584121,0.4451191843776272,0.6031387984649361,0.9166699184590592,0.9995868562769541,,,,,,,,,,,,,,,,,
London,a1a,LU,gpm,greedy,gpm,219,0.8991036621192283,0.8991036621192282,0.34519059095630467,0.6379198007396573,0.9359825868941524,0.9998764626030974,,,,,,,,,,,,,,,,,
London,a1a,LU,gpm,greedy,gpm_soft,219,0.9069045927526324,0.9069045927526322,0.467295291255914,0.6335869333552789,0.941252450485606,0.9999673728926743,,,,,,,,,,,,,,,,,
London,a1a,LU,gpm,greedy,SIZING,219,,,,,,,5280.712168432902,0.0,1.0551371715028153,217.0,81.91791133341776,73.59310146655295,77.82191878637373,121.57577319950217,48.652294904769064,0.31336405529953915,0.3087557603686636,76.40147739900584,42.831817204573156,79.04595743990757,46.741842296019726,71.8,
London,a1a,LU,gpm,greedy,SIZING_1TO1,219,,,,,,,5280.712168432902,0.0410958904109589,1.5993116886643854,209.0,71.87274696307672,58.20517371525584,68.1924137882896,139.2816727324607,71.80603306710782,0.4354066985645933,0.22488038277511962,82.09548195466485,51.38926297409948,88.79320475262604,58.4540887191021,71.8,0.3013698630136986
