region,arm,radius_km,dc_mw,cost_mae_gbp
London,LU,20.0,100.0,95.50011919338317
London,LU-soft,20.0,100.0,41512.2864440369
London,Ref,20.0,100.0,0.0
London,GNN-oof-42,20.0,100.0,56503.050733251315
London,GNN-oof-123,20.0,100.0,22329.0624142351
London,GNN-oof-456,20.0,100.0,50786.21744085944
London,Uni,20.0,300.0,2092962.8488311851
London,LU,20.0,300.0,810701.3163983353
London,LU-soft,20.0,300.0,1381004.7537694792
London,Ref,20.0,300.0,184548.48798316388
London,GNN-oof-42,20.0,300.0,1101798.9580205092
London,GNN-oof-123,20.0,300.0,747065.4821171152
London,GNN-oof-456,20.0,300.0,1000845.6920173138
London,Uni,20.0,500.0,5679296.403840454
London,LU,20.0,500.0,3038293.4877678687
London,LU-soft,20.0,500.0,4249292.7854334
London,Ref,20.0,500.0,844762.862277876
London,GNN-oof-42,20.0,500.0,3398349.208136616
London,GNN-oof-123,20.0,500.0,2623409.118808621
London,GNN-oof-456,20.0,500.0,2928341.972009614
TLH2,Uni,5.0,100.0,6160588.1936770035
TLH2,LU,5.0,100.0,5032299.926663684
TLH2,LU-soft,5.0,100.0,5381921.600929861
TLH2,Ref,5.0,100.0,3592816.507205059
TLH2,GNN-oof-42,5.0,100.0,4637570.683531743
TLH2,GNN-oof-123,5.0,100.0,4583096.7811463205
TLH2,GNN-oof-456,5.0,100.0,4467385.554098739
TLH2,Uni,5.0,300.0,6160863.855586077
TLH2,LU,5.0,300.0,5032299.926663683
TLH2,LU-soft,5.0,300.0,5381921.600929861
TLH2,Ref,5.0,300.0,3592816.5072050584
TLH2,GNN-oof-42,5.0,300.0,4637570.683531743
TLH2,GNN-oof-123,5.0,300.0,4583096.7811463205
TLH2,GNN-oof-456,5.0,300.0,4467385.554098739
TLH2,Uni,5.0,500.0,6160863.855586078
TLH2,LU,5.0,500.0,5032299.926663683
TLH2,LU-soft,5.0,500.0,5381921.600929861
TLH2,Ref,5.0,500.0,3592816.5072050584
TLH2,GNN-oof-42,5.0,500.0,4637570.683531741
TLH2,GNN-oof-123,5.0,500.0,4583096.7811463205
TLH2,GNN-oof-456,5.0,500.0,4467385.554098739
TLH2,Uni,10.0,100.0,12139429.929026607
TLH2,LU,10.0,100.0,8458116.089123711
TLH2,LU-soft,10.0,100.0,10142823.405812435
TLH2,Ref,10.0,100.0,4565132.4573401185
TLH2,GNN-oof-42,10.0,100.0,7262462.919872169
TLH2,GNN-oof-123,10.0,100.0,7023124.616969259
TLH2,GNN-oof-456,10.0,100.0,6813531.635091856
TLH2,Uni,10.0,300.0,12941931.672784997
TLH2,LU,10.0,300.0,8527689.922628418
TLH2,LU-soft,10.0,300.0,10248110.01218881
TLH2,Ref,10.0,300.0,4565132.457340118
TLH2,GNN-oof-42,10.0,300.0,7262462.919872169
TLH2,GNN-oof-123,10.0,300.0,7023124.616969259
TLH2,GNN-oof-456,10.0,300.0,6813531.635091856
TLH2,Uni,10.0,500.0,12941931.672784999
TLH2,LU,10.0,500.0,8527689.92262842
TLH2,LU-soft,10.0,500.0,10248110.01218881
TLH2,Ref,10.0,500.0,4565132.457340118
TLH2,GNN-oof-42,10.0,500.0,7262462.919872169
TLH2,GNN-oof-123,10.0,500.0,7023124.616969259
TLH2,GNN-oof-456,10.0,500.0,6813531.635091856
TLH2,Uni,20.0,100.0,20279706.3963863
TLH2,LU,20.0,100.0,12955725.54328859
TLH2,LU-soft,20.0,100.0,17225134.016648304
TLH2,Ref,20.0,100.0,5657574.71835381
TLH2,GNN-oof-42,20.0,100.0,8447660.431907866
TLH2,GNN-oof-123,20.0,100.0,7919303.083474787
TLH2,GNN-oof-456,20.0,100.0,8165650.953203283
TLH2,Uni,20.0,300.0,26791869.887829732
TLH2,LU,20.0,300.0,14338790.267600624
TLH2,LU-soft,20.0,300.0,20211331.346486215
TLH2,Ref,20.0,300.0,5693350.82462849
TLH2,GNN-oof-42,20.0,300.0,8595697.10590778
TLH2,GNN-oof-123,20.0,300.0,8017246.094678312
TLH2,GNN-oof-456,20.0,300.0,8317691.667952848
TLH2,Uni,20.0,500.0,26791869.887829736
TLH2,LU,20.0,500.0,14338790.267600624
TLH2,LU-soft,20.0,500.0,20211331.346486215
