country,region,arm,radius_km,centres,mae_decision,mae_representation,mean_G_mva,zero_station_share,n_stations_mean,n_stations_median,effective_cand_share,n_candidates
au,Central_Coast,Uni,1.0,station,25.48799649248085,1.4409327618087928,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,LU,1.0,station,25.37202397779348,1.360806672190227,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,LU-soft,1.0,station,25.379941058189015,1.3668787613161226,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,Ref,1.0,station,24.27947065232002,0.0,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,GNN-oof-42,1.0,station,25.172288073365483,1.920461847794743,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,GNN-oof-123,1.0,station,24.637824656330913,1.9242583133998474,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,GNN-oof-456,1.0,station,25.739970182617295,2.2248992657072755,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,Uni,2.0,station,23.318976556806152,5.271079266318679,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,LU,2.0,station,22.889981036248795,4.957515300262844,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,LU-soft,2.0,station,22.91517137608004,4.978423019230367,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,Ref,2.0,station,18.87987818402488,0.0,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,GNN-oof-42,2.0,station,22.912583939496674,6.047812035988761,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,GNN-oof-123,2.0,station,21.470473033245085,5.991067698265004,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,GNN-oof-456,2.0,station,24.22298718802946,6.676088282534012,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,Uni,3.0,station,20.063056122667355,10.899959723198513,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,LU,3.0,station,19.28544683861386,10.30825337622371,26.29059411764706,0.0,1.0,1.0,1.0,17
au,Central_Coast,LU-soft,3.0,station,19.332542843591433,10.346242820713481,26.29059411764706,0.0,1.0,1.0,1.0,17
