arm,region,seed,in_sample,corr,rmse,mae
Uni,London,,False,0.33826943932556686,21.0850619872057,13.583812193616128
UniN,London,,False,0.38258255501533167,19.797616932882345,12.727629032523819
UniP,London,,False,0.43895780533968404,17.94234121816461,11.513349159123102
UniNP,London,,False,0.4903818589074443,16.825344339871926,10.734470045934458
UniAddN,London,,False,0.33826943932556697,21.085061987205698,13.583812193616122
UniAddP,London,,False,0.33826943932556697,21.085061987205698,13.583812193616124
UniAddNP,London,,False,0.33826943932556697,21.085061987205698,13.583812193616124
GPM,London,,False,0.5112149848824254,16.467384316941015,11.267357381921105
GPMpostN,London,,False,0.546471361489546,15.811724148597824,10.715354515439046
GPMpostP,London,,False,0.5675868335606304,15.259250192983663,10.247410045112165
GPMpostNP,London,,False,0.5875308319503609,14.951493270340555,9.880039090749117
GPMaddN,London,,False,0.5768554296337971,15.771358604676955,10.581687018855959
GPMaddP,London,,False,0.568522989253649,15.309907790628046,10.279436155164017
GPMaddNP,London,,False,0.575851131152497,15.272670946370823,10.205939479157308
Uni,TLH2,,False,0.02204482450227272,8.804778021678656,6.260454653426346
UniN,TLH2,,False,0.15833467420618313,7.107797731002926,5.238799275761923
UniP,TLH2,,False,0.07714405029235775,6.529293920396291,5.003366297095838
UniNP,TLH2,,False,0.30847656046520383,5.647259623347147,4.247021571992739
UniAddN,TLH2,,False,0.022044824502272683,8.804778021678656,6.260454653426345
UniAddP,TLH2,,False,0.022044824502272627,8.804778021678656,6.260454653426345
UniAddNP,TLH2,,False,0.022044824502272627,8.804778021678656,6.260454653426345
GPM,TLH2,,False,0.1857057761259447,6.7909557657856725,5.1848668780020395
GPMpostN,TLH2,,False,0.3770950685058702,5.81764390385732,4.4636237882078635
GPMpostP,TLH2,,False,0.23996443926298294,6.026663707731407,4.531018592879189
GPMpostNP,TLH2,,False,0.3585596735304946,5.903336867114072,4.522115784192317
GPMaddN,TLH2,,False,0.40430396812931585,6.106478695246988,4.80653490798747
GPMaddP,TLH2,,False,0.298186759843106,5.96834838232923,4.560156829519584
GPMaddNP,TLH2,,False,0.36378819012500685,5.8603486149286885,4.459075387420198
Uni,TLH3,,False,0.004171184157689714,9.268579480345444,6.666529587727888
UniN,TLH3,,False,0.10806747506928839,7.931320271459571,5.500485404171517
UniP,TLH3,,False,0.028600390632242963,7.601562728989257,5.117359460864149
UniNP,TLH3,,False,0.2730231649614982,6.713866384552484,4.386600681948274
UniAddN,TLH3,,False,0.004171184157689786,9.268579480345444,6.666529587727889
UniAddP,TLH3,,False,0.004171184157689762,9.268579480345444,6.666529587727889
UniAddNP,TLH3,,False,0.004171184157689779,9.268579480345444,6.666529587727889
GPM,TLH3,,False,0.009265213558900153,8.848079596165963,6.167431120676618
GPMpostN,TLH3,,False,0.13039126909897927,7.672339627045691,5.243371067844223
GPMpostP,TLH3,,False,0.0510714340578005,7.516334011941544,5.050451258283933
GPMpostNP,TLH3,,False,0.264181262406175,6.825742280125717,4.75378930437328
GPMaddN,TLH3,,False,0.008150562020659734,8.545267013297714,6.15771573453619
GPMaddP,TLH3,,False,-0.02921259029176217,8.535183200188506,5.991875522073499
GPMaddNP,TLH3,,False,-0.0165970419809726,8.505325462177236,6.0209373037356615
Uni,TLJ1,,False,-0.24954236098536942,15.831153944056064,11.376923531184321
UniN,TLJ1,,False,-0.13705843985794525,12.905217295576314,9.404117148503614
UniP,TLJ1,,False,-0.12957988708377643,10.686793938317416,8.349506763196116
UniNP,TLJ1,,False,0.3160918788225305,7.942481401109974,6.021769459146471
UniAddN,TLJ1,,False,-0.24954236098536936,15.831153944056062,11.376923531184321
UniAddP,TLJ1,,False,-0.24954236098536942,15.831153944056062,11.37692353118432
UniAddNP,TLJ1,,False,-0.24954236098536942,15.831153944056062,11.37692353118432
GPM,TLJ1,,False,-0.2006143170835253,14.76113139653914,10.685218015269943
GPMpostN,TLJ1,,False,-0.03757567931117305,11.69915157020971,8.644443676810178
GPMpostP,TLJ1,,False,0.02964270335304689,9.647692246157396,7.452801118017552
GPMpostNP,TLJ1,,False,0.5073727787377915,7.042814595450884,5.312112429502584
GPMaddN,TLJ1,,False,-0.0034384198833547594,11.204524816802305,8.526417035963409
GPMaddP,TLJ1,,False,-0.14081935569146328,12.121853591064719,9.190128787336901
GPMaddNP,TLJ1,,False,-0.09286366175608325,11.815795022966654,8.920904139408613
Uni,TLF1,,False,-0.0761408418763492,11.965775000039855,9.335506067153995
UniN,TLF1,,False,0.041923660297900574,10.495912254827577,8.140944720238648
UniP,TLF1,,False,0.08723505502107898,8.944498465538016,6.9431552122398275
UniNP,TLF1,,False,0.3584767159444802,7.435897217467134,5.604852554176049
UniAddN,TLF1,,False,-0.076140841876349,11.965775000039855,9.335506067153997
UniAddP,TLF1,,False,-0.07614084187634904,11.965775000039855,9.335506067153997
UniAddNP,TLF1,,False,-0.07614084187634902,11.965775000039855,9.335506067153997
GPM,TLF1,,False,-0.0766186945189033,12.140714235770552,9.477075363266533
GPMpostN,TLF1,,False,0.04323576980172019,10.615119113292048,8.247538091262841
GPMpostP,TLF1,,False,0.08863710662957931,9.04407191672261,6.99179058206088
GPMpostNP,TLF1,,False,0.3547798124964924,7.517173983979914,5.607099654644428
GPMaddN,TLF1,,False,0.017238216685080368,10.825943352916308,8.419008904660583
GPMaddP,TLF1,,False,-0.04509400902492521,11.182582407734817,8.710033017674565
GPMaddNP,TLF1,,False,-0.025539325161458595,11.054185583356858,8.593595675270537
Uni,TLF2,,False,-0.16946303642716326,12.57375255834781,9.944836029498667
UniN,TLF2,,False,-0.08030946318461721,10.63941097847273,8.338588985987542
UniP,TLF2,,False,-0.024869307770492812,8.834871140618056,7.016673049091823
UniNP,TLF2,,False,0.2689787552366652,6.905054337859276,5.238715080284125
UniAddN,TLF2,,False,-0.16946303642716326,12.57375255834781,9.944836029498667
UniAddP,TLF2,,False,-0.1694630364271632,12.57375255834781,9.944836029498667
UniAddNP,TLF2,,False,-0.1694630364271632,12.57375255834781,9.944836029498667
GPM,TLF2,,False,-0.19267963038031805,12.72452146582481,10.040857092633132
GPMpostN,TLF2,,False,-0.10627599916260888,10.8082395050692,8.411817784009274
GPMpostP,TLF2,,False,-0.057550816781030384,9.127207510411427,7.171491109722314
GPMpostNP,TLF2,,False,0.22296415045482038,7.191670341709317,5.2576837285551195
GPMaddN,TLF2,,False,-0.12652700600478978,11.226160654902447,8.810089683068753
GPMaddP,TLF2,,False,-0.1661710394243645,11.6289735805401,9.208810279959842
GPMaddNP,TLF2,,False,-0.15276838482275362,11.53979272760846,9.076986017860193
Uni,TLC1,,False,0.096102031815537,18.30203688058664,10.942943485900273
UniN,TLC1,,False,0.12898869897993742,14.580722552095226,9.184478005893135
UniP,TLC1,,False,0.4026920362045503,6.904654270262217,5.405765916867047
UniNP,TLC1,,False,0.4557701444303048,5.8560337097579405,4.635908911673693
