signal,seed,location,fold,source_idx,itl3,n_edges,n_off,off_frac,aux_mass_v_sum,valid,G_all,G_off,ratio_off,min_w,n_w_below_floor,n_off_gradient_gated,max_t_off
ntl,42,London,fold1,0,TLI31,808,341,0.422029702970297,1798.7844555488298,True,1376.450549132658,12.188807664268053,0.008855245596689675,1.0726878230116199e-07,0,0,1e-08
ntl,42,London,fold1,1,TLI32,704,476,0.6761363636363636,914.5387634289472,True,1097.728072262702,13.480391645361056,0.012280265018252176,1.3502432238965412e-07,0,0,1e-08
ntl,42,London,fold1,2,TLI33,941,306,0.32518597236981933,2482.060315314101,True,1717.2440777949128,0.8667592589593545,0.0005047385343569488,5.957688813396089e-07,0,0,1e-08
ntl,42,London,fold1,3,TLI34,1120,387,0.3455357142857143,2501.478493883851,True,1755.7236574835808,1.3787068180548125,0.0007852641343517956,8.087849323601404e-07,0,0,1e-08
ntl,42,London,fold1,4,TLI41,1822,652,0.3578485181119649,4493.914049877706,True,2356.4068327710856,4.156653053459447,0.0017639793755695867,2.6304408606847574e-07,0,0,1e-08
ntl,42,London,fold1,5,TLI42,649,270,0.41602465331278893,1578.7315422971844,True,957.0298757999614,1.1632880604952804,0.0012155190657166394,2.587801475328888e-07,0,0,1e-08
ntl,42,London,fold1,6,TLI43,1473,440,0.2987101154107264,3710.0719541681747,True,2764.003296906499,3.1378851757505064,0.0011352682463376435,2.2018464562734152e-07,0,0,1e-08
ntl,42,London,fold1,7,TLI44,2103,543,0.2582025677603424,5468.5682485093575,True,4028.111754243689,4.614168712730439,0.001145491732663407,2.1072531808385977e-07,0,0,1e-08
ntl,42,London,fold1,8,TLI45,880,162,0.18409090909090908,2618.9550902103088,True,1489.0241077423389,0.9573951580157927,0.0006429682051739223,3.524688452216651e-07,0,0,1e-08
ntl,42,London,fold1,9,TLI51,3540,1322,0.3734463276836158,6750.473137032001,True,5395.9658973906735,13.773379292571938,0.0025525326798733717,2.8142929409114004e-07,0,0,1e-08
ntl,42,London,fold1,10,TLI52,4899,2603,0.5313329250867525,6890.482402203156,True,5384.620902910792,86.33402851048147,0.016033446006163857,6.177685207831018e-08,0,0,1e-08
ntl,42,London,fold1,11,TLI53,3135,1417,0.45199362041467306,5447.125229507429,True,5839.785038397402,16.202270539011604,0.0027744635174889853,1.6905059396776778e-07,0,0,1e-08
ntl,42,London,fold1,12,TLI54,2714,1415,0.5213706705969049,4025.8782768522733,True,2877.962392579943,38.53762298042617,0.013390592969451281,9.296293512761622e-08,0,0,1e-08
